Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
2942,00:00:19.380,IMU1,9.34,1.32,3.08,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
1977,00:00:15.645,IMU2,1.38,-7.09,6.47,0.0,0.0,0.0,0.75,0.94,-36.75,0.03,-0.41,0.91,0.1
1977,00:00:15.645,IMU6,1.21,-0.81,9.74,0.01,0.0,0.0,-3.75,-22.69,-38.25,-0.06,0.04,-1.0,0.01
1977,00:00:15.645,IMU4,1.99,0.7,9.52,0.0,0.0,0.0,18.44,8.0,-34.69,0.09,-0.06,0.56,0.82
1977,00:00:15.645,IMU3,-6.46,1.03,-6.91,0.0,0.0,0.0,4.62,-6.12,36.94,-0.77,0.51,0.34,0.15
1978,00:00:15.650,IMU2,1.38,-7.09,6.47,0.0,0.0,0.0,0.75,0.94,-36.75,0.03,-0.41,0.91,0.1
1978,00:00:15.650,IMU6,1.21,-0.81,9.74,0.01,0.0,0.0,-3.75,-22.69,-38.25,-0.06,0.04,-1.0,0.01
1978,00:00:15.650,IMU4,1.99,0.7,9.52,0.0,0.0,0.0,18.44,8.0,-34.69,0.09,-0.06,0.56,0.82
1978,00:00:15.650,IMU3,-6.46,1.07,-6.91,0.0,0.0,0.0,4.62,-6.12,36.94,-0.77,0.51,0.34,0.15
2943,00:00:19.383,IMU7,1.74,3.45,-9.08,0.0,0.0,0.0,22.38,9.81,27.06,0.47,0.86,0.2,0.01
2943,00:00:19.383,IMU5,6.85,-0.44,7.07,-0.0,0.01,-0.0,5.5,-11.62,-35.31,0.31,-0.21,0.79,0.48
2943,00:00:19.383,IMU1,9.34,1.32,3.08,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
2944,00:00:19.388,IMU7,1.74,3.45,-9.08,0.0,0.0,0.0,22.38,9.81,27.06,0.47,0.86,0.2,0.01
2944,00:00:19.388,IMU5,6.85,-0.44,7.07,-0.0,0.01,-0.0,5.5,-11.62,-35.31,0.31,-0.21,0.79,0.48
2944,00:00:19.388,IMU1,9.34,1.32,3.08,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
2945,00:00:19.393,IMU7,1.74,3.45,-9.08,0.0,0.0,0.0,22.38,9.81,27.06,0.47,0.86,0.2,0.01
2945,00:00:19.393,IMU5,6.85,-0.44,7.07,0.0,-0.01,0.0,5.5,-11.62,-35.31,0.31,-0.21,0.79,0.48
2945,00:00:19.393,IMU1,9.34,1.32,3.08,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
1979,00:00:15.657,IMU2,1.38,-7.09,6.47,0.0,0.0,0.0,0.75,0.94,-36.75,0.03,-0.41,0.91,0.1
1979,00:00:15.657,IMU6,1.21,-0.81,9.74,0.0,0.0,-0.0,-3.75,-22.69,-38.25,-0.06,0.04,-1.0,0.01
1979,00:00:15.657,IMU4,1.99,0.7,9.52,0.0,0.0,0.0,18.44,8.0,-34.69,0.09,-0.06,0.56,0.82
1979,00:00:15.657,IMU3,-6.46,1.07,-6.91,0.0,0.0,0.0,3.0,-5.25,35.94,-0.77,0.51,0.34,0.15
2946,00:00:19.400,IMU7,1.74,3.45,-9.08,0.0,0.0,0.0,22.38,9.81,27.06,0.47,0.86,0.2,0.01
2946,00:00:19.400,IMU5,6.85,-0.44,7.07,0.0,-0.01,0.0,5.5,-11.62,-35.31,0.31,-0.21,0.79,0.48
2946,00:00:19.400,IMU1,9.34,1.32,3.08,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
2947,00:00:19.403,IMU7,1.78,3.45,-9.12,0.0,0.0,0.0,22.38,9.81,27.06,0.47,0.86,0.2,0.01
2947,00:00:19.403,IMU5,6.85,-0.44,7.07,-0.0,-0.0,-0.0,5.5,-11.62,-35.31,0.31,-0.21,0.79,0.48
2947,00:00:19.403,IMU1,9.34,1.32,3.08,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
2948,00:00:19.406,IMU7,1.78,3.45,-9.12,0.0,0.0,0.0,20.75,8.06,27.62,0.47,0.86,0.2,0.01
2948,00:00:19.406,IMU5,6.85,-0.44,7.07,-0.0,-0.0,-0.0,5.5,-11.62,-35.31,0.31,-0.21,0.79,0.48
2948,00:00:19.406,IMU1,9.34,1.32,3.12,0.0,0.0,0.0,-18.62,14.5,-26.62,0.28,-0.52,0.28,0.76
