Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
6132,00:00:38.121,IMU3,0.24,0.05,9.77,0.0,0.0,-0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6132,00:00:38.121,IMU4,0.31,0.1,9.84,0.0,-0.01,0.0,8.0,-6.19,-21.44,0.02,-0.01,0.83,0.56
7044,00:00:38.119,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7044,00:00:38.119,IMU6,0.25,0.09,9.82,0.0,0.0,0.0,26.69,-12.75,-15.62,0.01,-0.01,0.77,0.63
7044,00:00:38.119,IMU7,0.46,0.11,9.71,0.0,0.0,0.0,18.38,-10.69,-19.0,0.03,-0.01,0.7,0.72
6133,00:00:38.127,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6133,00:00:38.127,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6133,00:00:38.127,IMU3,0.24,0.05,9.77,0.0,0.0,0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6133,00:00:38.127,IMU4,0.31,0.1,9.84,0.0,-0.01,0.0,8.0,-6.19,-21.44,0.02,-0.01,0.83,0.56
7045,00:00:38.122,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7045,00:00:38.122,IMU6,0.25,0.09,9.82,0.0,0.0,0.0,26.69,-12.75,-15.62,0.01,-0.01,0.77,0.63
7045,00:00:38.122,IMU7,0.46,0.11,9.71,0.0,0.0,0.0,19.06,-12.06,-17.06,0.03,-0.01,0.7,0.72
7046,00:00:38.126,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7046,00:00:38.126,IMU6,0.25,0.09,9.82,0.0,0.0,0.0,26.69,-12.75,-15.62,0.01,-0.01,0.77,0.63
7046,00:00:38.126,IMU7,0.46,0.11,9.71,0.0,0.0,0.0,19.06,-12.06,-17.06,0.03,-0.01,0.7,0.72
7047,00:00:38.133,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7047,00:00:38.133,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,26.69,-12.75,-15.62,0.01,-0.01,0.77,0.63
7047,00:00:38.133,IMU7,0.46,0.11,9.71,0.0,0.0,0.0,19.06,-12.06,-17.06,0.03,-0.01,0.7,0.72
6134,00:00:38.134,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6134,00:00:38.134,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6134,00:00:38.134,IMU3,0.24,0.05,9.77,0.0,0.0,0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6134,00:00:38.134,IMU4,0.23,0.06,9.84,0.0,-0.01,0.0,8.0,-6.19,-21.44,0.02,-0.01,0.83,0.56
7048,00:00:38.140,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7048,00:00:38.140,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,26.69,-12.75,-15.62,0.01,-0.01,0.77,0.63
7048,00:00:38.140,IMU7,0.46,0.11,9.71,0.0,0.0,0.0,19.06,-12.06,-17.06,0.03,-0.01,0.7,0.72
6135,00:00:38.138,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6135,00:00:38.138,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
6135,00:00:38.138,IMU3,0.24,0.05,9.77,0.0,0.0,-0.0,17.81,-19.19,-37.81,0.01,-0.01,0.79,0.61
6135,00:00:38.138,IMU4,0.23,0.06,9.84,0.0,-0.01,0.0,5.88,-4.88,-21.44,0.02,-0.01,0.83,0.56
7049,00:00:38.143,IMU5,0.03,0.29,9.79,0.0,0.0,0.0,32.06,-15.12,-20.88,0.01,0.01,0.73,0.68
7049,00:00:38.143,IMU6,0.29,0.09,9.82,0.0,0.0,0.0,25.88,-12.38,-16.0,0.01,-0.01,0.77,0.63
7049,00:00:38.143,IMU7,0.46,0.11,9.71,0.0,0.0,0.0,19.06,-12.06,-17.06,0.03,-0.01,0.7,0.72
6136,00:00:38.143,IMU1,0.34,-0.03,9.79,0.0,0.0,0.0,32.38,-16.62,-40.5,0.02,-0.01,0.79,0.61
6136,00:00:38.143,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,28.5,-31.25,-47.62,0.01,-0.0,0.78,0.63
