Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
9411,00:00:53.689,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9411,00:00:53.689,IMU2,0.2,0.14,9.83,0.0,0.0,0.0,33.81,-26.75,-45.75,0.01,0.0,0.88,0.47
9411,00:00:53.689,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
9411,00:00:53.689,IMU4,0.16,0.1,9.8,0.0,0.0,0.0,8.25,-6.19,-25.88,0.01,-0.0,0.85,0.53
9412,00:00:53.696,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9412,00:00:53.696,IMU2,0.2,0.14,9.83,0.0,0.0,0.0,33.81,-26.75,-45.75,0.01,0.0,0.88,0.47
9412,00:00:53.696,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
9412,00:00:53.696,IMU4,0.16,0.1,9.8,0.0,0.0,0.0,8.25,-6.19,-25.88,0.01,-0.0,0.85,0.53
10310,00:00:53.692,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.25,-10.0,-19.56,0.02,0.01,0.8,0.61
10310,00:00:53.692,IMU6,0.14,0.16,9.86,0.0,0.0,0.0,27.38,-6.5,-15.69,0.01,0.0,0.78,0.62
10310,00:00:53.692,IMU7,0.42,0.11,9.79,-0.0,-0.0,0.0,19.75,-8.62,-17.81,0.02,-0.01,0.83,0.55
10311,00:00:53.695,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.25,-10.0,-19.56,0.02,0.01,0.8,0.61
10311,00:00:53.695,IMU6,0.14,0.16,9.86,0.0,0.0,0.0,27.38,-6.5,-15.69,0.01,0.0,0.78,0.62
10311,00:00:53.695,IMU7,0.42,0.11,9.79,-0.0,-0.0,0.0,19.75,-8.62,-17.81,0.02,-0.01,0.83,0.55
10312,00:00:53.700,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.56,-9.56,-19.25,0.02,0.01,0.8,0.61
10312,00:00:53.700,IMU6,0.14,0.16,9.86,0.0,0.0,0.0,27.38,-6.5,-15.69,0.01,0.0,0.78,0.62
10312,00:00:53.700,IMU7,0.42,0.11,9.79,0.01,-0.0,0.0,19.75,-8.62,-17.81,0.02,-0.01,0.83,0.55
9413,00:00:53.701,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9413,00:00:53.701,IMU2,0.2,0.14,9.83,0.0,0.0,0.0,36.06,-24.94,-46.06,0.01,0.0,0.88,0.47
9413,00:00:53.701,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
9413,00:00:53.701,IMU4,0.16,0.1,9.8,0.0,0.0,0.0,8.25,-6.19,-25.88,0.01,-0.0,0.85,0.53
10313,00:00:53.703,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.56,-9.56,-19.25,0.02,0.01,0.8,0.61
10313,00:00:53.703,IMU6,0.14,0.16,9.86,0.0,0.0,0.0,27.38,-6.5,-15.69,0.01,0.0,0.78,0.62
10313,00:00:53.703,IMU7,0.42,0.11,9.79,0.01,-0.0,0.0,19.75,-8.62,-17.81,0.02,-0.01,0.83,0.55
9414,00:00:53.711,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9414,00:00:53.711,IMU2,0.2,0.14,9.83,0.0,0.0,0.0,36.06,-24.94,-46.06,0.01,0.0,0.88,0.47
9414,00:00:53.711,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
9414,00:00:53.711,IMU4,0.16,-0.02,9.88,0.0,0.0,0.0,8.25,-6.19,-25.88,0.01,-0.0,0.85,0.53
10314,00:00:53.710,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.56,-9.56,-19.25,0.02,0.01,0.8,0.61
10314,00:00:53.710,IMU6,0.14,0.16,9.82,0.0,0.0,0.0,27.38,-6.5,-15.69,0.01,0.0,0.78,0.62
10314,00:00:53.710,IMU7,0.42,0.15,9.83,0.01,-0.0,0.0,19.75,-8.62,-17.81,0.02,-0.01,0.83,0.55
10315,00:00:53.713,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.56,-9.56,-19.25,0.02,0.01,0.8,0.61
10315,00:00:53.713,IMU6,0.14,0.16,9.82,0.0,0.0,0.0,27.38,-6.5,-15.69,0.01,0.0,0.78,0.62
10315,00:00:53.713,IMU7,0.42,0.15,9.83,0.0,0.0,0.0,19.75,-8.62,-17.81,0.02,-0.01,0.83,0.55
9415,00:00:53.715,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9415,00:00:53.715,IMU2,0.2,0.14,9.83,0.0,0.0,0.0,36.06,-24.94,-46.06,0.01,0.0,0.88,0.47
9415,00:00:53.715,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
9415,00:00:53.715,IMU4,0.16,-0.02,9.88,0.0,0.0,0.0,8.25,-6.19,-25.88,0.01,-0.0,0.85,0.53
10316,00:00:53.719,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.56,-9.56,-19.25,0.02,0.01,0.8,0.61
10316,00:00:53.719,IMU6,0.14,0.16,9.82,0.0,0.0,0.0,25.44,-5.12,-16.5,0.01,0.0,0.78,0.62
10316,00:00:53.719,IMU7,0.42,0.15,9.83,0.0,0.0,0.0,20.06,-8.62,-17.38,0.02,-0.01,0.83,0.55
10317,00:00:53.723,IMU5,0.18,0.32,9.7,0.0,0.0,0.0,34.56,-9.56,-19.25,0.02,0.01,0.8,0.61
10317,00:00:53.723,IMU6,0.14,0.16,9.82,0.0,0.0,0.0,25.44,-5.12,-16.5,0.01,0.0,0.78,0.62
10317,00:00:53.723,IMU7,0.42,0.15,9.83,0.0,0.0,0.0,20.06,-8.62,-17.38,0.02,-0.01,0.83,0.55
9416,00:00:53.722,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9416,00:00:53.722,IMU2,0.2,0.14,9.83,0.0,0.0,0.0,36.06,-24.94,-46.06,0.01,0.0,0.88,0.47
9416,00:00:53.722,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
9416,00:00:53.722,IMU4,0.16,-0.02,9.88,0.0,0.0,0.0,9.31,-7.12,-25.44,0.01,-0.0,0.85,0.53
9417,00:00:53.725,IMU1,0.3,0.04,9.79,0.0,0.0,0.0,36.94,-9.88,-40.75,0.02,-0.01,0.79,0.61
9417,00:00:53.725,IMU2,0.2,0.14,9.79,0.0,0.0,0.0,36.06,-24.94,-46.06,0.01,0.0,0.88,0.47
9417,00:00:53.725,IMU3,0.2,0.08,9.81,0.0,0.0,0.0,23.75,-15.38,-41.5,0.01,-0.0,0.87,0.49
