Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
36909,00:03:21.583,IMU5,-0.27,6.82,-7.21,0.0,0.0,0.0,15.12,-59.44,-16.19,0.9,0.22,0.07,0.36
36909,00:03:21.583,IMU6,2.11,-9.65,0.46,0.0,-0.0,-0.01,0.62,42.19,-1.94,-0.44,-0.53,0.44,0.57
36909,00:03:21.583,IMU7,-1.15,2.95,9.08,0.01,-0.0,0.0,23.19,-16.38,-40.25,0.05,0.16,0.76,0.62
36910,00:03:21.586,IMU5,-0.27,6.82,-7.21,0.0,0.0,0.0,12.81,-59.75,-16.38,0.9,0.22,0.07,0.36
36910,00:03:21.586,IMU6,2.11,-9.65,0.46,0.0,-0.0,-0.01,0.62,42.19,-1.94,-0.44,-0.53,0.44,0.57
36910,00:03:21.586,IMU7,-1.15,2.95,9.08,0.01,-0.0,0.0,22.94,-17.56,-40.69,0.05,0.16,0.76,0.62
36911,00:03:21.591,IMU5,-0.27,6.82,-7.21,0.0,0.0,0.0,12.81,-59.75,-16.38,0.9,0.22,0.07,0.36
36911,00:03:21.591,IMU6,2.11,-9.65,0.46,0.0,0.0,0.0,0.62,42.19,-1.94,-0.44,-0.53,0.44,0.57
36911,00:03:21.591,IMU7,-1.15,2.95,9.08,0.01,-0.0,0.0,22.94,-17.56,-40.69,0.05,0.16,0.76,0.62
36912,00:03:21.597,IMU5,-0.27,6.82,-7.21,0.0,0.0,0.0,12.81,-59.75,-16.38,0.9,0.22,0.07,0.36
36912,00:03:21.597,IMU6,2.11,-9.65,0.46,0.0,0.0,0.0,0.62,42.19,-1.94,-0.44,-0.53,0.44,0.57
36912,00:03:21.597,IMU7,-1.15,2.95,9.08,-0.01,0.01,0.0,22.94,-17.56,-40.69,0.05,0.16,0.76,0.62
36913,00:03:21.601,IMU5,-0.27,6.82,-7.21,0.0,0.0,0.0,12.81,-59.75,-16.38,0.9,0.22,0.07,0.36
36913,00:03:21.601,IMU6,2.07,-9.61,0.34,0.0,0.0,0.0,0.62,42.19,-1.94,-0.44,-0.53,0.44,0.57
36913,00:03:21.601,IMU7,-1.15,2.95,9.08,-0.01,0.01,0.0,22.94,-17.56,-40.69,0.05,0.16,0.76,0.62
36914,00:03:21.606,IMU5,-0.27,6.82,-7.21,0.0,0.0,0.0,12.81,-59.75,-16.38,0.9,0.22,0.07,0.36
