Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,Time_s,GlobalAx,GlobalAy,GlobalAz,Stationary,VelX,VelY,VelZ,PosX,PosY,PosZ
22,8.66,-1.52,3.71,-0.01,0.04,0.0,-25.06,12.25,8.56,0.83,-0.09,-0.55,0.0,0.022,-0.12134000000000089,-0.08300200000000013,-0.27283900000000116,True,0.0,0.0,0.0,0.0,0.0,0.0
23,8.66,-1.52,3.71,-0.01,0.04,-0.01,-25.06,12.25,8.56,0.83,-0.09,-0.55,0.0,0.023,-0.12134000000000089,-0.08300200000000013,-0.27283900000000116,True,0.0,0.0,0.0,0.0,0.0,0.0
24,8.62,-1.47,3.7,-0.01,0.03,-0.01,-24.19,12.37,7.37,0.83,-0.09,-0.55,0.0,0.024,-0.12304000000000137,-0.03929100000000019,-0.32061200000000234,True,0.0,0.0,0.0,0.0,0.0,0.0
25,8.62,-1.47,3.7,-0.01,0.03,-0.01,-24.19,12.37,7.37,0.83,-0.09,-0.55,0.0,0.025,-0.12304000000000137,-0.03929100000000019,-0.32061200000000234,True,0.0,0.0,0.0,0.0,0.0,0.0
26,8.66,-1.44,3.82,-0.01,0.03,-0.01,-24.19,12.37,7.37,0.83,-0.09,-0.55,0.0,0.026,-0.21385000000000076,0.012095999999999885,-0.24317800000000034,True,0.0,0.0,0.0,0.0,0.0,0.0
27,8.67,-1.47,3.81,-0.02,0.03,-0.01,-24.19,12.37,7.37,0.83,-0.09,-0.55,0.0,0.027,-0.20374500000000095,-0.017907000000000117,-0.23334900000000225,True,0.0,0.0,0.0,0.0,0.0,0.0
28,8.68,-1.49,3.79,-0.02,0.03,-0.01,-24.19,12.37,7.37,0.83,-0.09,-0.55,0.0,0.028,-0.18352000000000102,-0.039571000000000134,-0.22879700000000014,True,0.0,0.0,0.0,0.0,0.0,0.0
29,8.68,-1.49,3.79,-0.02,0.03,-0.01,-25.06,12.69,7.37,0.83,-0.09,-0.55,0.0,0.029,-0.18352000000000102,-0.039571000000000134,-0.22879700000000014,True,0.0,0.0,0.0,0.0,0.0,0.0
30,8.69,-1.48,3.7,-0.02,0.03,-0.01,-25.06,12.69,7.37,0.83,-0.09,-0.55,0.0,0.03,-0.0964150000000017,-0.042194000000000065,-0.25520800000000143,True,0.0,0.0,0.0,0.0,0.0,0.0
31,8.73,-1.47,3.66,-0.02,0.02,-0.02,-25.06,12.69,7.37,0.83,-0.09,-0.55,0.0,0.031,-0.04312500000000119,-0.03437699999999999,-0.2353140000000007,True,0.0,0.0,0.0,0.0,0.0,0.0
32,8.71,-1.48,3.73,-0.02,0.03,-0.02,-25.06,12.69,7.37,0.83,-0.09,-0.55,0.0,0.032,-0.11591500000000066,-0.035731999999999986,-0.225598999999999,True,0.0,0.0,0.0,0.0,0.0,0.0
33,8.74,-1.5,3.77,-0.01,0.04,-0.02,-25.06,12.69,7.37,0.83,-0.09,-0.55,0.0,0.033,-0.14258000000000104,-0.04645200000000027,-0.1800890000000006,True,0.0,0.0,0.0,0.0,0.0,0.0
34,8.74,-1.51,3.76,-0.01,0.05,-0.03,-24.0,13.06,7.5,0.83,-0.09,-0.55,0.0,0.034,-0.134440000000001,-0.05777900000000025,-0.1823780000000017,True,0.0,0.0,0.0,0.0,0.0,0.0
35,8.74,-1.51,3.76,-0.01,0.05,-0.02,-24.0,13.06,7.5,0.83,-0.09,-0.55,0.0,0.035,-0.134440000000001,-0.05777900000000025,-0.1823780000000017,True,0.0,0.0,0.0,0.0,0.0,0.0
36,8.73,-1.51,3.75,-0.01,0.04,-0.02,-24.0,13.06,7.5,0.83,-0.09,-0.54,0.0,0.036,0.03086999999999973,-0.05951799999999996,-0.299334,True,0.0,0.0,0.0,0.0,0.0,0.0
37,8.68,-1.5,3.76,-0.02,0.03,-0.02,-24.0,13.06,7.5,0.83,-0.09,-0.54,0.0,0.037,0.0026079999999994996,-0.053159999999999985,-0.34175600000000195,True,0.0,0.0,0.0,0.0,0.0,0.0
38,8.68,-1.5,3.76,-0.02,0.02,-0.02,-24.0,13.06,7.5,0.83,-0.09,-0.54,0.0,0.038,0.0026079999999994996,-0.053159999999999985,-0.34175600000000195,True,0.0,0.0,0.0,0.0,0.0,0.0
39,8.67,-1.56,3.79,-0.03,0.02,-0.02,-25.06,12.37,8.25,0.83,-0.09,-0.54,0.0,0.039,-0.03417000000000048,-0.10799399999999992,-0.3300800000000006,True,0.0,0.0,0.0,0.0,0.0,0.0
40,8.67,-1.56,3.79,-0.03,0.02,-0.02,-25.06,12.37,8.25,0.83,-0.09,-0.54,0.0,0.04,-0.03417000000000048,-0.10799399999999992,-0.3300800000000006,True,0.0,0.0,0.0,0.0,0.0,0.0
41,8.63,-1.56,3.76,-0.03,0.03,-0.02,-25.06,12.37,8.25,0.83,-0.09,-0.54,0.0,0.041,-0.023494000000000348,-0.1163639999999998,-0.37761200000000095,True,0.0,0.0,0.0,0.0,0.0,0.0
42,8.65,-1.56,3.73,-0.03,0.03,-0.02,-25.06,12.37,8.25,0.83,-0.09,-0.54,0.0,0.042,0.01150599999999935,-0.11890199999999984,-0.371360000000001,True,0.0,0.0,0.0,0.0,0.0,0.0
43,8.65,-1.52,3.79,-0.03,0.03,-0.03,-25.06,12.37,8.25,0.83,-0.09,-0.54,0.0,0.043,-0.038390000000000146,-0.07104199999999983,-0.3539840000000005,True,0.0,0.0,0.0,0.0,0.0,0.0
44,8.66,-1.5,3.81,-0.03,0.04,-0.03,-24.69,12.37,7.87,0.83,-0.09,-0.54,0.0,0.044,-0.05032000000000014,-0.047633999999999954,-0.34022400000000097,True,0.0,0.0,0.0,0.0,0.0,0.0
45,8.68,-1.52,3.8,-0.02,0.05,-0.03,-24.69,12.37,7.87,0.83,-0.09,-0.54,0.0,0.045,-0.035192000000000334,-0.06663199999999991,-0.3232000000000017,True,0.0,0.0,0.0,0.0,0.0,0.0
46,8.66,-1.48,3.84,-0.03,0.04,-0.03,-24.69,12.37,7.87,0.83,-0.09,-0.54,-0.0,0.046,-0.07526800000000033,-0.02370400000000006,-0.3315360000000016,True,0.0,0.0,0.0,0.0,0.0,0.0
47,8.67,-1.49,3.89,-0.04,0.04,-0.02,-24.69,12.37,7.87,0.83,-0.09,-0.54,-0.0,0.047,-0.11700600000000039,-0.02498599999999984,-0.3016180000000013,True,0.0,0.0,0.0,0.0,0.0,0.0
48,8.67,-1.48,3.86,-0.05,0.02,-0.02,-25.37,12.37,7.87,0.83,-0.09,-0.54,-0.0,0.048,-0.08914200000000028,-0.019744000000000095,-0.31478800000000184,True,0.0,0.0,0.0,0.0,0.0,0.0
49,8.68,-1.47,3.81,-0.05,0.02,-0.02,-25.37,12.37,7.87,0.83,-0.09,-0.54,-0.0,0.049,-0.039296000000000664,-0.016518000000000033,-0.3267780000000009,True,0.0,0.0,0.0,0.0,0.0,0.0
50,8.61,-1.44,3.78,-0.04,0.02,-0.01,-25.37,12.37,7.87,0.83,-0.1,-0.54,-0.0,0.05,-0.03705900000000062,0.1598400000000002,-0.38896200000000114,True,0.0,0.0,0.0,0.0,0.0,0.0
51,8.6,-1.44,3.78,-0.03,0.02,-0.02,-25.37,12.37,7.87,0.83,-0.1,-0.54,-0.0,0.051,-0.04113200000000061,0.15876000000000023,-0.397926,True,0.0,0.0,0.0,0.0,0.0,0.0
52,8.6,-1.44,3.78,-0.02,0.02,-0.02,-25.37,12.37,7.87,0.83,-0.1,-0.54,-0.0,0.052,-0.04113200000000061,0.15876000000000023,-0.397926,True,0.0,0.0,0.0,0.0,0.0,0.0
53,8.63,-1.43,3.83,-0.02,0.03,-0.02,-24.69,12.69,6.69,0.83,-0.1,-0.54,-0.0,0.053,-0.0726530000000003,0.18000500000000041,-0.35332900000000045,True,0.0,0.0,0.0,0.0,0.0,0.0
54,8.63,-1.43,3.83,-0.02,0.03,-0.02,-24.69,12.69,6.69,0.83,-0.1,-0.54,-0.0,0.054,-0.0726530000000003,0.18000500000000041,-0.35332900000000045,True,0.0,0.0,0.0,0.0,0.0,0.0
55,8.65,-1.52,3.79,-0.02,0.05,-0.02,-24.69,12.69,6.69,0.83,-0.1,-0.54,-0.0,0.055,-0.038371000000000155,0.08818000000000037,-0.33595299999999995,True,0.0,0.0,0.0,0.0,0.0,0.0
56,8.64,-1.51,3.83,-0.02,0.05,-0.02,-24.69,12.69,6.69,0.83,-0.1,-0.54,-0.0,0.056,-0.07722000000000051,0.10344500000000023,-0.33108499999999985,True,0.0,0.0,0.0,0.0,0.0,0.0
57,8.6,-1.52,3.85,-0.02,0.05,-0.03,-24.69,12.69,6.69,0.83,-0.1,-0.54,-0.0,0.057,-0.11252000000000084,0.09274000000000027,-0.3575350000000004,True,0.0,0.0,0.0,0.0,0.0,0.0
58,8.61,-1.51,3.84,-0.01,0.05,-0.03,-25.56,12.0,8.0,0.84,-0.1,-0.54,-0.0,0.058,0.003911999999998805,0.08432800000000029,-0.1939680000000017,True,0.0,0.0,0.0,0.0,0.0,0.0
59,8.6,-1.5,3.84,-0.01,0.06,-0.03,-25.56,12.0,8.0,0.84,-0.1,-0.54,-0.0,0.059,0.0007519999999989757,0.0931200000000002,-0.2047200000000018,True,0.0,0.0,0.0,0.0,0.0,0.0
60,8.61,-1.54,3.75,-0.0,0.06,-0.04,-25.56,12.0,8.0,0.84,-0.1,-0.54,-0.0,0.06,0.0823199999999984,0.03959200000000018,-0.2252880000000026,True,0.0,0.0,0.0,0.0,0.0,0.0
61,8.65,-1.54,3.76,-0.01,0.06,-0.03,-25.56,12.0,8.0,0.84,-0.09,-0.54,-0.0,0.061,0.09040499999999918,-0.11392199999999975,-0.20368800000000142,True,0.0,0.0,0.0,0.0,0.0,0.0
62,8.66,-1.58,3.76,-0.01,0.05,-0.03,-25.56,12.0,8.0,0.84,-0.09,-0.54,-0.0,0.062,0.09073799999999865,-0.1525139999999997,-0.18856800000000185,True,0.0,0.0,0.0,0.0,0.0,0.0
63,8.71,-1.58,3.79,-0.02,0.05,-0.03,-24.69,13.06,8.75,0.84,-0.09,-0.54,-0.0,0.063,0.0846269999999989,-0.14311799999999963,-0.13103100000000012,True,0.0,0.0,0.0,0.0,0.0,0.0
64,8.72,-1.65,3.83,-0.02,0.04,-0.02,-24.69,13.06,8.75,0.84,-0.09,-0.54,-0.0,0.064,0.04575599999999902,-0.2053349999999996,-0.09513900000000142,True,0.0,0.0,0.0,0.0,0.0,0.0
65,8.69,-1.66,3.84,-0.02,0.04,-0.02,-24.69,13.06,8.75,0.84,-0.1,-0.54,-0.0,0.065,0.02163199999999854,-0.05511199999999972,-0.09619200000000205,True,0.0,0.0,0.0,0.0,0.0,0.0
66,8.65,-1.64,3.88,-0.01,0.05,-0.03,-24.69,13.06,8.75,0.84,-0.1,-0.54,-0.0,0.066,-0.029456000000000593,-0.03296799999999944,-0.11968000000000067,True,0.0,0.0,0.0,0.0,0.0,0.0
67,8.65,-1.64,3.88,0.0,0.06,-0.04,-24.69,13.06,8.75,0.84,-0.09,-0.54,-0.0,0.067,-0.028179000000001064,-0.19468799999999964,-0.13986000000000054,True,0.0,0.0,0.0,0.0,0.0,0.0
68,8.46,-1.58,3.84,0.02,0.08,-0.06,-25.5,12.69,7.5,0.84,-0.09,-0.54,-0.0,0.068,-0.06625800000000082,-0.1598579999999996,-0.33753600000000006,True,0.0,0.0,0.0,0.0,0.0,0.0
69,8.46,-1.58,3.84,0.03,0.11,-0.08,-25.5,12.69,7.5,0.84,-0.09,-0.54,-0.0,0.069,-0.06625800000000082,-0.1598579999999996,-0.33753600000000006,True,0.0,0.0,0.0,0.0,0.0,0.0
70,8.51,-1.54,3.83,0.05,0.13,-0.09,-25.5,12.69,7.5,0.84,-0.09,-0.54,-0.0,0.07,-0.032193000000000804,-0.11694599999999977,-0.30228300000000097,True,0.0,0.0,0.0,0.0,0.0,0.0
71,8.67,-1.47,3.91,0.06,0.14,-0.1,-25.5,12.69,7.5,0.84,-0.09,-0.54,-0.0,0.071,-0.03042900000000115,-0.020060999999999773,-0.1352430000000009,True,0.0,0.0,0.0,0.0,0.0,0.0
72,8.73,-1.44,3.96,0.07,0.14,-0.11,-25.5,12.69,7.5,0.84,-0.09,-0.54,-0.0,0.072,-0.047547000000001116,0.023004000000000246,-0.06505199999999967,True,0.0,0.0,0.0,0.0,0.0,0.0
73,8.73,-1.44,3.96,0.07,0.13,-0.1,-24.69,12.69,7.19,0.84,-0.09,-0.54,-0.01,0.073,-0.06548400000000054,-0.08074799999999971,-0.0644940000000016,True,0.0,0.0,0.0,0.0,0.0,0.0
74,8.71,-1.45,4.09,0.06,0.1,-0.09,-24.69,12.69,7.19,0.84,-0.09,-0.54,-0.01,0.074,-0.19276600000000066,-0.07118599999999975,-0.028489999999999682,True,0.0,0.0,0.0,0.0,0.0,0.0
75,8.65,-1.52,4.13,0.05,0.07,-0.07,-24.69,12.69,7.19,0.84,-0.09,-0.54,-0.01,0.075,-0.2622820000000008,-0.13875999999999955,-0.0569620000000004,True,0.0,0.0,0.0,0.0,0.0,0.0
76,8.53,-1.6,4.14,0.03,0.06,-0.05,-24.69,12.69,7.19,0.84,-0.09,-0.54,-0.01,0.076,-0.33109600000000095,-0.22590799999999978,-0.15075000000000216,True,0.0,0.0,0.0,0.0,0.0,0.0
77,8.44,-1.7,4.16,0.01,0.06,-0.04,-24.69,12.69,7.19,0.84,-0.09,-0.54,-0.01,0.077,-0.3985840000000014,-0.32880399999999965,-0.2104000000000017,True,0.0,0.0,0.0,0.0,0.0,0.0
78,8.49,-1.76,4.17,-0.01,0.06,-0.03,-25.06,12.0,7.87,0.84,-0.09,-0.54,-0.01,0.078,-0.39337800000000067,-0.38250399999999973,-0.15246600000000043,True,0.0,0.0,0.0,0.0,0.0,0.0
79,8.54,-1.76,4.16,-0.03,0.06,-0.04,-25.06,12.0,7.87,0.84,-0.09,-0.54,-0.01,0.079,-0.36322400000000155,-0.38010399999999955,-0.11107600000000062,True,0.0,0.0,0.0,0.0,0.0,0.0
80,8.54,-1.74,4.2,-0.05,0.03,-0.05,-25.06,12.0,7.87,0.84,-0.09,-0.53,-0.01,0.08,-0.23209000000000168,-0.3514379999999998,-0.19582800000000233,True,0.0,0.0,0.0,0.0,0.0,0.0
81,8.46,-1.48,4.2,-0.06,0.0,-0.05,-25.06,12.0,7.87,0.84,-0.09,-0.53,-0.01,0.081,-0.23753400000000102,-0.1033679999999998,-0.3037600000000005,True,0.0,0.0,0.0,0.0,0.0,0.0
82,8.46,-1.48,4.2,-0.08,-0.02,-0.06,-25.06,12.0,7.87,0.84,-0.09,-0.53,-0.01,0.082,-0.23753400000000102,-0.1033679999999998,-0.3037600000000005,True,0.0,0.0,0.0,0.0,0.0,0.0
83,8.4,-1.25,4.12,-0.07,-0.03,-0.06,-25.06,12.0,7.06,0.84,-0.09,-0.53,-0.01,0.083,-0.16660200000000103,0.1039810000000001,-0.4229660000000006,True,0.0,0.0,0.0,0.0,0.0,0.0
84,8.4,-1.25,4.12,-0.06,-0.04,-0.06,-25.06,12.0,7.06,0.84,-0.09,-0.54,-0.01,0.084,-0.327948000000001,0.10655000000000037,-0.3261800000000008,True,0.0,0.0,0.0,0.0,0.0,0.0
85,8.38,-1.18,4.28,-0.05,-0.03,-0.05,-25.06,12.0,7.06,0.84,-0.09,-0.54,-0.01,0.085,-0.473272000000001,0.2000920000000005,-0.2892279999999996,True,0.0,0.0,0.0,0.0,0.0,0.0
86,8.43,-1.24,4.36,-0.04,-0.02,-0.04,-25.06,12.0,7.06,0.84,-0.09,-0.54,-0.01,0.086,-0.5314440000000014,0.1577320000000002,-0.20287400000000133,True,0.0,0.0,0.0,0.0,0.0,0.0
87,8.43,-1.24,4.36,-0.04,-0.01,-0.02,-25.06,12.0,7.06,0.84,-0.09,-0.54,-0.01,0.087,-0.5314440000000014,0.1577320000000002,-0.20287400000000133,True,0.0,0.0,0.0,0.0,0.0,0.0
