Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,Tilt,Obliquity,Rotation
2.145585536956787,0.5,0.19,9.83,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.1459639072418213,0.5,0.19,9.83,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.146239757537842,0.5,0.19,9.83,0.01,-0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.1465048789978027,0.5,0.19,9.83,0.01,-0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.1467196941375732,0.5,0.19,9.83,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.1473052501678467,0.5,0.19,9.83,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.147533416748047,0.38,0.19,9.71,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.1477887630462646,0.38,0.19,9.71,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.1480026245117188,0.38,0.19,9.71,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.148244619369507,0.38,0.19,9.71,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.148474931716919,0.38,0.19,9.71,-0.01,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2151389122009277,0.38,0.19,9.71,-0.01,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.215449094772339,0.5,0.11,9.87,-0.01,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.215667963027954,0.5,0.11,9.87,-0.0,-0.0,0.01,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2158517837524414,0.5,0.11,9.87,-0.0,-0.0,0.01,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2160143852233887,0.5,0.11,9.87,-0.0,-0.0,0.01,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.216176748275757,0.5,0.11,9.87,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2163541316986084,0.5,0.11,9.87,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.216507911682129,0.46,0.11,9.83,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2166635990142822,0.46,0.11,9.83,-0.01,0.0,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2168593406677246,0.46,0.11,9.83,0.0,-0.01,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.217085838317871,0.46,0.11,9.83,0.0,-0.01,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.217329502105713,0.46,0.11,9.83,0.0,-0.01,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2175540924072266,0.46,0.11,9.83,0.0,-0.01,-0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2864413261413574,0.46,0.11,9.83,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.286742925643921,0.46,0.11,9.83,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
2.2869346141815186,0.54,0.19,9.95,0.0,0.0,0.0,0.02,-0.01,0.81,0.58,-2.4712645262585135e-14,1.1411319398297777e-13,4.2007745289971036e-14
