Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37868,00:02:44,IMU3,0.0,0.0,0.0,-0.5,-0.96,9.58,-13.69,-36.0,-14.81,0.02,0.05,-0.99,0.16
37869,00:02:44,IMU1,0.01,0.0,0.0,1.42,-0.88,9.5,-1.44,-7.75,-27.88,0.06,-0.07,0.94,0.34
37869,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37869,00:02:44,IMU3,0.0,0.0,0.0,-0.5,-0.96,9.58,-13.69,-36.0,-14.81,0.02,0.05,-0.99,0.16
37870,00:02:44,IMU1,0.01,0.0,0.0,1.42,-0.88,9.5,-1.44,-7.75,-27.88,0.06,-0.07,0.94,0.34
37870,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37870,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.58,-13.69,-36.0,-14.81,0.02,0.05,-0.99,0.16
37871,00:02:44,IMU1,0.0,0.0,0.01,1.42,-0.88,9.5,-1.44,-7.75,-27.88,0.06,-0.07,0.94,0.34
37871,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37871,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.58,-14.0,-36.38,-14.0,0.02,0.05,-0.99,0.16
37872,00:02:44,IMU1,0.0,0.0,0.01,1.42,-0.88,9.5,-1.44,-7.75,-27.88,0.06,-0.07,0.94,0.34
37872,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37872,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.58,-14.0,-36.38,-14.0,0.02,0.05,-0.99,0.16
37873,00:02:44,IMU1,0.0,0.0,0.01,1.46,-0.88,9.46,-1.44,-7.75,-27.88,0.06,-0.07,0.94,0.34
37873,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37873,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.58,-14.0,-36.38,-14.0,0.02,0.05,-0.99,0.16
37874,00:02:44,IMU1,0.0,0.0,0.01,1.46,-0.88,9.46,-1.06,-7.75,-33.06,0.06,-0.07,0.94,0.34
37874,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37874,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.58,-14.0,-36.38,-14.0,0.02,0.05,-0.99,0.16
37875,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-7.75,-33.06,0.06,-0.07,0.94,0.34
37875,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37875,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.58,-14.0,-36.38,-14.0,0.02,0.05,-0.99,0.16
37876,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-7.75,-33.06,0.06,-0.07,0.94,0.34
37876,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.91,9.35,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37876,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-14.0,-36.38,-14.0,0.02,0.05,-0.99,0.16
37877,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-7.75,-33.06,0.06,-0.07,0.94,0.34
37877,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.91,9.35,-18.19,-6.12,-22.12,-0.09,0.12,-0.89,0.43
37877,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.92,9.58,-12.56,-32.38,-13.25,0.02,0.05,-0.99,0.16
