Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
4272,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4272,00:00:20,IMU6,0.00,0.00,0.00,0.69,-0.38,9.54,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4273,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4273,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4273,00:00:20,IMU6,0.00,0.00,-0.01,0.69,-0.38,9.54,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4274,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4274,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4274,00:00:20,IMU6,0.00,0.00,-0.01,0.69,-0.38,9.54,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4275,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4275,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4275,00:00:20,IMU6,0.01,0.00,-0.01,0.69,-0.38,9.54,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4276,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4276,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4276,00:00:20,IMU6,0.01,0.00,-0.01,0.69,-0.38,9.54,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4277,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4277,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4277,00:00:20,IMU6,-0.00,-0.00,0.00,0.69,-0.38,9.54,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4278,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4278,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.01,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4279,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4279,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.01,12.69,6.50,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4279,00:00:20,IMU6,-0.00,-0.00,0.00,0.65,-0.38,9.58,11.56,13.81,-20.00,-0.00,-0.04,0.41,0.91,Left_Leg
4280,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.87,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4280,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.01,12.69,6.50,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
