Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
7544,00:00:33,IMU3,0.00,0.00,0.00,-1.27,0.04,9.54,20.88,-7.56,-22.50,-0.05,0.04,0.82,0.57,Left_Leg
7545,00:00:33,IMU1,0.00,0.00,0.00,0.30,-5.82,7.89,12.19,21.81,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
7545,00:00:33,IMU2,0.00,0.00,0.00,5.29,-4.02,7.73,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7545,00:00:33,IMU3,0.00,0.00,0.00,-1.27,0.04,9.54,20.88,-7.56,-22.50,-0.05,0.04,0.82,0.57,Left_Leg
7546,00:00:33,IMU1,0.00,0.00,0.00,0.30,-5.82,7.89,12.19,21.81,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
7546,00:00:33,IMU2,0.00,0.00,0.00,5.29,-4.02,7.73,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7546,00:00:33,IMU3,0.00,0.00,0.00,-1.30,0.08,9.50,20.88,-7.56,-22.50,-0.05,0.04,0.82,0.57,Left_Leg
7547,00:00:33,IMU1,0.00,0.00,0.00,0.30,-5.82,7.89,12.19,21.81,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
7547,00:00:33,IMU2,0.00,0.00,0.00,5.29,-4.02,7.73,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7547,00:00:33,IMU3,0.00,0.00,0.00,-1.30,0.08,9.50,20.88,-7.56,-22.50,-0.05,0.04,0.82,0.57,Left_Leg
7548,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.89,12.19,21.81,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
7548,00:00:33,IMU2,0.00,0.00,0.00,5.29,-4.02,7.73,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7548,00:00:33,IMU3,0.00,0.00,0.00,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7549,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.89,12.56,21.06,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
7549,00:00:33,IMU2,0.00,0.00,0.00,5.29,-4.02,7.73,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7549,00:00:33,IMU3,0.00,0.00,0.00,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7550,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.89,12.56,21.06,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
7550,00:00:33,IMU2,0.00,0.00,0.00,5.29,-4.02,7.73,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7550,00:00:33,IMU3,0.00,-0.00,0.00,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7551,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.89,12.56,21.06,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
7551,00:00:33,IMU2,0.00,0.00,0.00,5.21,-3.98,7.70,-14.94,26.56,-27.44,-0.14,-0.32,0.21,0.91,Left_Leg
7551,00:00:33,IMU3,0.00,-0.00,0.00,-1.30,0.08,9.50,22.31,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
7552,00:00:33,IMU1,0.00,0.00,0.00,0.34,-5.82,7.89,12.56,21.06,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
7552,00:00:33,IMU2,0.00,0.00,0.00,5.21,-3.98,7.70,-14.56,25.50,-27.06,-0.14,-0.32,0.21,0.91,Left_Leg
